source_file,rows,positives
RogueAP_0.csv,1003,0
RogueAP_1.csv,1002,0
RogueAP_10.csv,1002,0
RogueAP_11.csv,1003,0
RogueAP_12.csv,1001,0
RogueAP_13.csv,999,0
RogueAP_14.csv,1000,0
RogueAP_15.csv,999,0
RogueAP_16.csv,1001,0
RogueAP_17.csv,998,0
RogueAP_18.csv,1000,0
RogueAP_19.csv,1003,0
RogueAP_2.csv,1003,0
RogueAP_20.csv,1000,0
RogueAP_21.csv,1004,0
RogueAP_22.csv,1001,0
RogueAP_23.csv,1000,1
RogueAP_24.csv,1001,28
RogueAP_25.csv,1001,83
RogueAP_26.csv,1000,79
RogueAP_27.csv,997,70
RogueAP_28.csv,1001,83
RogueAP_29.csv,1001,164
RogueAP_3.csv,1004,0
RogueAP_30.csv,1002,57
RogueAP_31.csv,1001,61
RogueAP_32.csv,1003,64
RogueAP_33.csv,1002,67
RogueAP_34.csv,1003,91
RogueAP_35.csv,1003,130
RogueAP_36.csv,1003,67
RogueAP_37.csv,1001,105
RogueAP_38.csv,1003,114
RogueAP_39.csv,465,24
RogueAP_4.csv,1005,0
RogueAP_5.csv,1000,0
RogueAP_6.csv,1003,0
RogueAP_7.csv,1002,0
RogueAP_8.csv,1004,0
RogueAP_9.csv,1003,0
